Longitude,Latitude,Pixel,Scan
27.7514807,-85.279005,0,0
27.7422006,-85.2793998,100,0
27.7329191,-85.2797946,200,0
27.7236362,-85.2801892,300,0
27.7143521,-85.2805836,400,0
27.7050666,-85.280978,500,0
27.6957798,-85.2813721,600,0
27.6864917,-85.2817662,700,0
27.6772023,-85.2821601,800,0
27.6679115,-85.2825539,900,0
27.6586194,-85.2829475,1000,0
27.649326,-85.2833411,1100,0
27.6400313,-85.2837344,1200,0
27.6307352,-85.2841277,1300,0
27.6214379,-85.2845208,1400,0
27.6121392,-85.2849137,1500,0
27.6028391,-85.2853066,1600,0
27.5935378,-85.2856993,1700,0
27.5842351,-85.2860918,1800,0
27.5749311,-85.2864843,1900,0
27.5656258,-85.2868765,2000,0
27.5563192,-85.2872687,2100,0
27.5470112,-85.2876607,2200,0
27.537702,-85.2880526,2300,0
27.5283914,-85.2884443,2400,0
27.5190795,-85.288836,2500,0
27.5097662,-85.2892274,2600,0
27.5004517,-85.2896188,2700,0
27.4911358,-85.29001,2800,0
27.4818186,-85.290401,2900,0
27.4725001,-85.290792,3000,0
27.4631802,-85.2911828,3100,0
27.453859,-85.2915734,3200,0
27.4445366,-85.291964,3300,0
27.4352128,-85.2923543,3400,0
27.4258876,-85.2927446,3500,0
27.4165612,-85.2931347,3600,0
27.4072334,-85.2935247,3700,0
27.3979043,-85.2939145,3800,0
27.3885739,-85.2943042,3900,0
27.3792422,-85.2946938,4000,0
27.3699092,-85.2950832,4100,0
27.3605748,-85.2954725,4200,0
27.3512391,-85.2958617,4300,0
27.3419021,-85.2962507,4400,0
27.3325638,-85.2966396,4500,0
27.3232242,-85.2970284,4600,0
27.3138832,-85.297417,4700,0
27.3045409,-85.2978055,4800,0
27.2951973,-85.2981938,4900,0
27.2858524,-85.298582,5000,0
27.2765062,-85.2989701,5100,0
27.2671586,-85.299358,5200,0
27.2578098,-85.2997458,5300,0
27.2484596,-85.3001335,5400,0
27.2391081,-85.300521,5500,0
27.2297552,-85.3009084,5600,0
27.2204011,-85.3012957,5700,0
27.2110456,-85.3016828,5800,0
27.2016889,-85.3020698,5900,0
27.1923308,-85.3024566,6000,0
27.1829714,-85.3028433,6100,0
27.1736106,-85.3032299,6200,0
27.1642486,-85.3036163,6300,0
27.1548852,-85.3040026,6400,0
27.1455206,-85.3043888,6500,0
27.1361546,-85.3047748,6600,0
27.1267872,-85.3051607,6700,0
27.1174186,-85.3055465,6800,0
27.1080487,-85.3059321,6900,0
27.0986774,-85.3063176,7000,0
27.0893048,-85.3067029,7100,0
27.079931,-85.3070881,7200,0
27.0705557,-85.3074732,7300,0
27.0611792,-85.3078581,7400,0
27.0518014,-85.3082429,7500,0
27.0424222,-85.3086276,7600,0
27.0330418,-85.3090121,7700,0
27.02366,-85.3093965,7800,0
27.0142769,-85.3097807,7900,0
27.0048925,-85.3101648,8000,0
26.9955067,-85.3105488,8100,0
26.9861197,-85.3109326,8200,0
26.9767313,-85.3113163,8300,0
26.9673417,-85.3116999,8400,0
26.9579507,-85.3120833,8500,0
26.9485584,-85.3124666,8600,0
26.9391648,-85.3128498,8700,0
26.9297698,-85.3132328,8800,0
26.9203736,-85.3136157,8900,0
26.9109761,-85.3139984,9000,0
26.9015772,-85.314381,9100,0
26.892177,-85.3147635,9200,0
26.8827755,-85.3151458,9300,0
26.8733727,-85.315528,9400,0
26.8639686,-85.3159101,9500,0
26.8545632,-85.316292,9600,0
26.8451564,-85.3166738,9700,0
26.8357483,-85.3170555,9800,0
26.826339,-85.317437,9900,0
26.8169283,-85.3178183,10000,0
26.8075163,-85.3181996,10100,0
26.798103,-85.3185807,10200,0
26.7886884,-85.3189616,10300,0
26.7792724,-85.3193425,10400,0
26.7698552,-85.3197231,10500,0
26.7604367,-85.3201037,10600,0
26.7510168,-85.3204841,10700,0
26.7415956,-85.3208644,10800,0
26.7321731,-85.3212445,10900,0
26.7227493,-85.3216245,11000,0
26.7133242,-85.3220044,11100,0
26.7038978,-85.3223841,11200,0
26.6944701,-85.3227637,11300,0
26.685041,-85.3231432,11400,0
26.6756107,-85.3235225,11500,0
26.666179,-85.3239017,11600,0
26.6567461,-85.3242807,11700,0
26.6473118,-85.3246596,11800,0
26.6378762,-85.3250384,11900,0
26.6285337,-85.3254132,11999,0
27.7469491,-85.2782678,0,100
27.7376701,-85.2786626,100,100
27.7283896,-85.2790573,200,100
27.7191079,-85.2794518,300,100
27.7098248,-85.2798462,400,100
27.7005405,-85.2802405,500,100
27.6912548,-85.2806346,600,100
27.6819677,-85.2810286,700,100
27.6726794,-85.2814224,800,100
27.6633897,-85.2818162,900,100
27.6540987,-85.2822097,1000,100
27.6448064,-85.2826032,1100,100
27.6355127,-85.2829965,1200,100
27.6262178,-85.2833897,1300,100
27.6169215,-85.2837827,1400,100
27.6076239,-85.2841756,1500,100
27.598325,-85.2845684,1600,100
27.5890247,-85.284961,1700,100
27.5797231,-85.2853535,1800,100
27.5704203,-85.2857459,1900,100
27.561116,-85.2861381,2000,100
27.5518105,-85.2865302,2100,100
27.5425036,-85.2869222,2200,100
27.5331955,-85.287314,2300,100
27.523886,-85.2877057,2400,100
27.5145752,-85.2880973,2500,100
27.505263,-85.2884887,2600,100
27.4959496,-85.2888799,2700,100
27.4866348,-85.2892711,2800,100
27.4773187,-85.2896621,2900,100
27.4680013,-85.290053,3000,100
27.4586825,-85.2904437,3100,100
27.4493625,-85.2908343,3200,100
27.4400411,-85.2912248,3300,100
27.4307184,-85.2916151,3400,100
27.4213944,-85.2920053,3500,100
27.412069,-85.2923953,3600,100
27.4027424,-85.2927853,3700,100
27.3934144,-85.293175,3800,100
27.3840851,-85.2935647,3900,100
27.3747545,-85.2939542,4000,100
27.3654225,-85.2943436,4100,100
27.3560893,-85.2947328,4200,100
27.3467547,-85.2951219,4300,100
27.3374188,-85.2955109,4400,100
27.3280816,-85.2958997,4500,100
27.3187431,-85.2962884,4600,100
27.3094032,-85.296677,4700,100
27.3000621,-85.2970654,4800,100
27.2907196,-85.2974537,4900,100
27.2813758,-85.2978418,5000,100
27.2720307,-85.2982298,5100,100
27.2626842,-85.2986177,5200,100
27.2533365,-85.2990054,5300,100
27.2439874,-85.299393,5400,100
27.234637,-85.2997805,5500,100
27.2252853,-85.3001678,5600,100
27.2159323,-85.300555,5700,100
27.206578,-85.3009421,5800,100
27.1972223,-85.301329,5900,100
27.1878654,-85.3017158,6000,100
27.1785071,-85.3021024,6100,100
27.1691475,-85.302489,6200,100
27.1597865,-85.3028753,6300,100
27.1504243,-85.3032616,6400,100
27.1410608,-85.3036477,6500,100
27.1316959,-85.3040336,6600,100
27.1223297,-85.3044195,6700,100
27.1129622,-85.3048052,6800,100
27.1035934,-85.3051907,6900,100
27.0942233,-85.3055761,7000,100
27.0848518,-85.3059614,7100,100
27.075479,-85.3063466,7200,100
27.066105,-85.3067316,7300,100
27.0567296,-85.3071165,7400,100
27.0473529,-85.3075012,7500,100
27.0379749,-85.3078858,7600,100
27.0285955,-85.3082703,7700,100
27.0192149,-85.3086546,7800,100
27.0098329,-85.3090388,7900,100
27.0004496,-85.3094228,8000,100
26.991065,-85.3098067,8100,100
26.9816791,-85.3101905,8200,100
26.9722919,-85.3105742,8300,100
26.9629034,-85.3109577,8400,100
26.9535135,-85.311341,8500,100
26.9441224,-85.3117243,8600,100
26.9347299,-85.3121074,8700,100
26.9253361,-85.3124903,8800,100
26.915941,-85.3128731,8900,100
26.9065446,-85.3132558,9000,100
26.8971469,-85.3136384,9100,100
26.8877478,-85.3140208,9200,100
26.8783475,-85.3144031,9300,100
26.8689458,-85.3147852,9400,100
26.8595428,-85.3151672,9500,100
26.8501386,-85.3155491,9600,100
26.840733,-85.3159308,9700,100
26.831326,-85.3163124,9800,100
26.8219178,-85.3166938,9900,100
26.8125083,-85.3170751,10000,100
26.8030974,-85.3174563,10100,100
26.7936853,-85.3178374,10200,100
26.7842718,-85.3182183,10300,100
26.774857,-85.318599,10400,100
26.7654409,-85.3189797,10500,100
26.7560235,-85.3193601,10600,100
26.7466048,-85.3197405,10700,100
26.7371848,-85.3201207,10800,100
26.7277635,-85.3205008,10900,100
26.7183408,-85.3208807,11000,100
26.7089169,-85.3212605,11100,100
26.6994916,-85.3216402,11200,100
26.690065,-85.3220197,11300,100
26.6806372,-85.3223991,11400,100
26.671208,-85.3227784,11500,100
26.6617775,-85.3231575,11600,100
26.6523457,-85.3235365,11700,100
26.6429125,-85.3239153,11800,100
26.6334781,-85.324294,11900,100
26.6241367,-85.3246688,11999,100
27.7424204,-85.2775305,0,200
27.7331424,-85.2779253,100,200
27.7238631,-85.2783199,200,200
27.7145824,-85.2787144,300,200
27.7053004,-85.2791087,400,200
27.6960171,-85.2795029,500,200
27.6867325,-85.279897,600,200
27.6774466,-85.2802909,700,200
27.6681593,-85.2806847,800,200
27.6588707,-85.2810784,900,200
27.6495808,-85.2814719,1000,200
27.6402896,-85.2818653,1100,200
27.630997,-85.2822585,1200,200
27.6217032,-85.2826517,1300,200
27.612408,-85.2830446,1400,200
27.6031115,-85.2834375,1500,200
27.5938136,-85.2838302,1600,200
27.5845145,-85.2842228,1700,200
27.575214,-85.2846152,1800,200
27.5659122,-85.2850075,1900,200
27.5566091,-85.2853997,2000,200
27.5473046,-85.2857917,2100,200
27.5379989,-85.2861836,2200,200
